Quarter,Portfolio,ModelName,actual_lgd,predicted_lgd,
2020Q1,Commercial Real Estate,Basic_LGD,0.673105096,0.696324547,
2020Q1,Corporate,Basic_LGD,0.244090958,0.343632477,
2020Q1,Consumer,LGD_v2,0.294114768,0.351670961,
2020Q1,Consumer,LGD_v2,0.210287734,0.180782115,
2020Q1,SME,LGD_v1,0.446161674,0.399876045,
2020Q1,Consumer,Basic_LGD,0.192904837,0.22418706,
2020Q1,SME,Advanced_LGD,0.313716366,0.371093077,
2020Q1,Corporate,LGD_v2,0.518207808,0.657992239,
2020Q1,Commercial Real Estate,Advanced_LGD,0.43606959,0.555186894,
2020Q1,Commercial Real Estate,LGD_v1,0.331877539,0.277730238,
2020Q1,Commercial Real Estate,LGD_v2,0.352149761,0.341949133,
2020Q1,Consumer,LGD_v2,0.43726653,0.50436831,
2020Q1,Corporate,Basic_LGD,0.103518837,0.210318615,
2020Q1,Consumer,LGD_v1,0.147105921,0.241002868,
2020Q1,Consumer,Basic_LGD,0.628754841,0.622367057,
2020Q1,Corporate,LGD_v2,0.146727393,0.021325128,
2020Q1,Corporate,LGD_v1,0.524082158,0.42418852,
2020Q1,Corporate,LGD_v2,0.652022898,0.67928625,
2020Q1,Corporate,LGD_v1,0.262410163,0.296632721,
2020Q1,Commercial Real Estate,LGD_v2,0.322294862,0.212426925,
2020Q1,Retail,Advanced_LGD,0.441352844,0.445809805,
2020Q1,Retail,Advanced_LGD,0.629025382,0.692147817,
2020Q1,Corporate,Basic_LGD,0.665143352,0.550020687,
2020Q1,Retail,Advanced_LGD,0.543737949,0.654237669,
2020Q1,Retail,LGD_v2,0.151971857,0.114218742,
2020Q1,Corporate,LGD_v2,0.501492493,0.627253805,
2020Q1,Retail,Advanced_LGD,0.346182233,0.292836989,
2020Q1,Consumer,Basic_LGD,0.3824206,0.279758051,
2020Q1,SME,Advanced_LGD,0.129489034,0.083675335,
2020Q1,SME,LGD_v1,0.214637284,0.205122471,
2020Q1,Corporate,LGD_v1,0.574308165,0.535460174,
2020Q2,Commercial Real Estate,LGD_v1,0.3723753,0.350775158,
2020Q2,Corporate,Advanced_LGD,0.280997345,0.31439386,
2020Q2,Commercial Real Estate,Advanced_LGD,0.330411444,0.313293507,
2020Q2,SME,Advanced_LGD,0.612639708,0.606028469,
2020Q2,Corporate,LGD_v1,0.54939941,0.378476771,
2020Q2,Consumer,Basic_LGD,0.263389238,0.30255904,
2020Q2,Retail,LGD_v2,0.170501104,0.161580774,
2020Q2,Commercial Real Estate,Advanced_LGD,0.251198933,0.412228231,
2020Q2,Retail,Basic_LGD,0.652453871,0.558497354,
2020Q2,Retail,LGD_v2,0.448953303,0.26812377,
2020Q2,Corporate,LGD_v2,0.420088125,0.481894975,
2020Q2,Retail,LGD_v2,0.45783616,0.492488862,
2020Q2,Consumer,Basic_LGD,0.319616959,0.218773657,
2020Q2,Retail,Basic_LGD,0.584264212,0.431289317,
2020Q2,Corporate,LGD_v1,0.41397175,0.567711423,
2020Q2,Consumer,Basic_LGD,0.170048742,0.311459781,
2020Q2,SME,Basic_LGD,0.177439075,0,
2020Q2,Retail,Basic_LGD,0.422115488,0.376293185,
2020Q2,Corporate,LGD_v2,0.661942131,0.828361336,
2020Q2,SME,Advanced_LGD,0.285011273,0.237405017,
2020Q2,SME,LGD_v1,0.621724701,0.572663478,
2020Q2,Commercial Real Estate,Advanced_LGD,0.558457352,0.530181419,
2020Q2,Consumer,Advanced_LGD,0.248687466,0.136597768,
2020Q2,Retail,Basic_LGD,0.121804449,0,
2020Q2,Corporate,LGD_v1,0.161108359,0.26636309,
2020Q2,Commercial Real Estate,Advanced_LGD,0.53709636,0.35280267,
2020Q2,Consumer,Advanced_LGD,0.219801843,0.244528988,
2020Q2,Commercial Real Estate,LGD_v1,0.322762552,0.411420502,
2020Q2,Consumer,Basic_LGD,0.4010195,0.25589687,
2020Q2,Consumer,Advanced_LGD,0.535280901,0.442854061,
2020Q2,Retail,LGD_v2,0.167938734,0.289256653,
2020Q2,Consumer,Advanced_LGD,0.343819843,0.397109015,
2020Q2,Commercial Real Estate,LGD_v2,0.391043745,0.329315175,
2020Q2,Consumer,Basic_LGD,0.424496238,0.544721139,
2020Q2,Retail,Advanced_LGD,0.591016385,0.711669957,
2020Q2,Retail,LGD_v1,0.203006917,0.229912186,
2020Q2,Commercial Real Estate,LGD_v1,0.584698871,0.494682848,
2020Q2,SME,Advanced_LGD,0.515727057,0.474382186,
2020Q2,SME,Basic_LGD,0.433522489,0.462161163,
2020Q2,Consumer,Basic_LGD,0.519716722,0.500857239,
2020Q2,Corporate,LGD_v1,0.347210643,0.441106361,
2020Q2,Consumer,Advanced_LGD,0.183038552,0.030061144,
2020Q2,Commercial Real Estate,Basic_LGD,0.499459144,0.350032791,
2020Q2,Commercial Real Estate,LGD_v1,0.414803384,0.432890495,
2020Q2,Commercial Real Estate,LGD_v2,0.48362488,0.434470439,
2020Q2,Commercial Real Estate,Advanced_LGD,0.302799269,0.240094407,
2020Q2,Commercial Real Estate,LGD_v2,0.644119946,0.467314274,
2020Q2,Retail,LGD_v2,0.452421921,0.454376506,
2020Q2,SME,Basic_LGD,0.151241491,0.14596598,
2020Q2,Commercial Real Estate,Basic_LGD,0.369882394,0.435230293,
2020Q2,Corporate,Basic_LGD,0.553813633,0.560704246,
2020Q2,Corporate,Advanced_LGD,0.576480737,0.563220329,
2020Q2,Corporate,LGD_v2,0.396758232,0.514458295,
2020Q2,Corporate,Advanced_LGD,0.636848542,0.505601812,
2020Q2,Retail,Basic_LGD,0.260601062,0.314239984,
2020Q2,Corporate,LGD_v2,0.346359218,0.179244502,
2020Q2,Commercial Real Estate,Advanced_LGD,0.639158146,0.555321958,
2020Q2,Consumer,Advanced_LGD,0.63775403,0.516488317,
2020Q2,Corporate,LGD_v1,0.511427661,0.589621915,
2020Q2,Retail,Advanced_LGD,0.615388328,0.608847305,
2020Q2,Retail,Basic_LGD,0.15326396,0.151913636,
2020Q2,Corporate,Advanced_LGD,0.618996986,0.508323687,
2020Q2,Consumer,LGD_v2,0.292371944,0.262402594,
2020Q2,Corporate,Advanced_LGD,0.206998907,0.130652377,
2020Q2,Retail,LGD_v1,0.243621902,0.281967403,
2020Q2,SME,LGD_v2,0.350781105,0.251671991,
2020Q2,Commercial Real Estate,LGD_v2,0.250715203,0.383694639,
2020Q2,Retail,LGD_v1,0.292340552,0.124782507,
2020Q2,Corporate,Basic_LGD,0.180987092,0.100335108,
2020Q2,Commercial Real Estate,LGD_v2,0.277706059,0.44542611,
2020Q2,Corporate,Basic_LGD,0.443370289,0.399856414,
2020Q2,Corporate,LGD_v2,0.365112225,0.233624358,
2020Q2,SME,LGD_v2,0.308031257,0.329938413,
2020Q2,Commercial Real Estate,Basic_LGD,0.547871277,0.500332053,
2020Q2,Commercial Real Estate,LGD_v2,0.636105983,0.552518957,
2020Q2,SME,Basic_LGD,0.554073534,0.444486453,
2020Q2,Retail,LGD_v1,0.299200421,0.576037782,
2020Q2,Corporate,Basic_LGD,0.546665301,0.521510111,
2020Q2,Consumer,LGD_v1,0.191188109,0,
2020Q2,Corporate,LGD_v2,0.178190793,0.327561769,
2020Q2,Corporate,Basic_LGD,0.307376222,0.368483313,
2020Q2,Retail,LGD_v2,0.584621421,0.507974778,
2020Q2,Corporate,Basic_LGD,0.247808948,0.154497039,
2020Q2,SME,LGD_v1,0.137952045,0.205299325,
2020Q2,SME,LGD_v1,0.179025721,0.154333888,
2020Q2,Commercial Real Estate,Basic_LGD,0.615246981,0.422649199,
2020Q2,Consumer,LGD_v1,0.480269971,0.658993967,
2020Q2,Corporate,LGD_v2,0.251920698,0.208521652,
2020Q2,Corporate,LGD_v2,0.433177495,0.582734669,
2020Q2,Retail,Advanced_LGD,0.416547773,0.544391269,
2020Q2,SME,LGD_v1,0.493261587,0.393160633,
2020Q2,Consumer,LGD_v2,0.239912533,0.343231519,
2020Q2,Commercial Real Estate,Basic_LGD,0.618641792,0.553497537,
2020Q2,SME,LGD_v1,0.285621137,0.098951079,
2020Q2,Commercial Real Estate,LGD_v2,0.516478992,0.474019176,
2020Q2,Retail,LGD_v1,0.109674788,0.149438538,
2020Q2,Retail,Basic_LGD,0.323594278,0.277320613,
2020Q2,Corporate,LGD_v2,0.311025891,0.280321057,
2020Q2,Consumer,Advanced_LGD,0.426090657,0.540447262,
2020Q2,Commercial Real Estate,Advanced_LGD,0.143641757,0.154291155,
